"review_id","patchset_id","patch_id","file_path","line_number","posted_timestamp","author_email","author_type","text","yngve","frazier","pdensity","cdensity","pct_neg_tokens","pct_neu_tokens","pct_pos_tokens","pct_nne_tokens","min_politeness","max_politeness","min_formality","max_formality","num_tokens","num_sentences","has_doxastic","has_epistemic","has_conditional","has_investigative","has_uncertainty","comment_type"
10553011,5001,6002,"tests/compiler/dart2js/generate_at_use_site_test.dart",18,2012-08-16 07:16:53,"developer_3097","reviewer","'The 'if' has been added to avoid inlining of add.'?",2.28571428571429,1,0.36734693877551,1.5,0.857142857142857,0,0,0.857142857142857,0.350349753604255,0.426373642857354,0.00483235059536935,0.128340556870605,14,2,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
9491009,1,2,"chrome/browser/geolocation/chrome_geolocation_permission_context.cc",491,2012-02-28 12:20:34,"developer_2322","reviewer","nit: s/r *helper/r* helper/",1.125,1.3125,0.125,0,1,0,0,1,0.439007418522547,0.439007418522547,0.00381639809114664,0.00381639809114664,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
471813002,220001,230006,"chrome/browser/ui/views/app_list/app_list_dialog_container.cc",192,2014-09-23 21:45:55,"developer_2127","reviewer","DISALLOW_COPY_AND_ASSIGN",0,1,0,0,0,0,0,0,0.439007418522547,0.439007418522547,0.0626830721416719,0.0626830721416719,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
22938005,93002,130010,"chrome/browser/resources/extensions/extension_error.js",108,2013-08-21 19:41:03,"developer_4391","reviewer","nit: think this fits in one line",1,1.0625,0.375,1.33333333333333,0,0,1,1,0.447865706251184,0.447865706251184,0.0359747743778347,0.0359747743778347,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
1396923003,20001,30025,"components/autofill/core/browser/ui/save_card_bubble_controller.h",16,2015-10-15 21:20:44,"developer_4782","reviewer","only the methods visible/used by the view should be in this interface. Other stuff can be moved to public on the impl class.",2.46153846153846,0.807692307692308,0.4,1.3,0.52,0,0.48,1,0.466640947807218,0.472402306828613,0.695408463021469,0.843254549382831,25,2,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
1439673003,100001,110005,"chrome/browser/ui/webui/settings/reset_settings_handler.h",71,2015-11-12 13:02:12,"developer_1147","reviewer","""Chrome will initiate asynchronous file operation and then log out"" is unclear to me. How about ""Sets a pref indicating that a factory reset is requested then requests a restart.""
",3.52941176470588,0.794117647058823,0.361111111111111,2,1,0,0,1,0.278464170542261,0.524152561392669,0.507023050027627,0.893762665116032,36,2,FALSE,TRUE,FALSE,FALSE,TRUE,"acted-upon"
1226773008,1,10001,"content/browser/frame_host/frame_tree_node.cc",371,2015-07-08 04:32:46,"developer_991","reviewer","s/child-per-process/site-per-process/",0.5,0.5,0,0,0,0,0,0,0.439007418522547,0.439007418522547,0.0647822626449508,0.0647822626449508,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
1419383005,40001,50013,"net/url_request/url_request.h",463,2015-11-11 18:15:53,"developer_4134","reviewer","s/Quic/QUIC/ and other changes from http_transaction.h.",2.125,0.75,0.25,2,1,0,0,1,0.439007418522547,0.439007418522547,0.423911030099538,0.423911030099538,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
1311733003,1,10004,"webrtc/modules/audio_conference_mixer/source/audio_conference_mixer_impl.h",107,2015-08-26 11:56:01,"developer_275","reviewer","const reference",0.5,0.5,0,0,0,0,0,0,0.439007418522547,0.439007418522547,0.0704526911622642,0.0704526911622642,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
139783006,20003,50006,"sync/test/fake_server/fake_server.cc",133,2014-01-17 14:53:26,"developer_361","reviewer","Use a constant for your dummy birthday and keystore values.",2.45454545454545,0.681818181818182,0.363636363636364,1.5,0,0,0,0,0.510582651261113,0.510582651261113,0.229826726691976,0.229826726691976,11,1,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
1828143004,280001,290003,"common/battor/battor/battor_wrapper.py",32,2016-04-04 13:29:14,"developer_2272","reviewer","nit: s/test_platform/target_platform",1.42857142857143,0.785714285714286,0.142857142857143,5,1,0,0,1,0.439007418522547,0.439007418522547,0.0046331695085966,0.0046331695085966,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
8070001,1052,4047,"webkit/quota/quota_client.h",67,2011-09-29 14:05:15,"developer_4478","reviewer","const &.",1,0.666666666666667,0.333333333333333,1,0,0,0,0,0.439007418522547,0.439007418522547,0.0189097384532997,0.0189097384532997,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
1484913002,140001,150016,"third_party/WebKit/Source/core/page/scrolling/ScrollingCoordinator.h",98,2015-12-11 13:51:26,"developer_359","reviewer","
In cc/blink. This enum would have to move to public/platform/ for this to work, though.

See https://codereview.chromium.org/1405993008/diff/460001/cc/blink/web_layer_impl.cc for an example.",2.3125,1.08333333333333,0.393429487179487,1,0.576923076923077,0,0.307692307692308,0.884615384615385,0.388329101749689,0.470014716007041,0.0131980894478495,0.18470541467,26,3,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
9359022,16001,13011,"chrome/browser/ui/views/frame/app_non_client_frame_view_aura.h",43,2012-02-13 11:01:32,"developer_1622","reviewer","Similar to const, don't leave OVERRIDE on a line by itself. Here 47.",2.42857142857143,1,0.470588235294118,1.33333333333333,0.823529411764706,0,0,0.823529411764706,0.439007418522547,0.474533357999745,0.117541144137791,0.304956248785093,17,2,FALSE,FALSE,FALSE,FALSE,FALSE,"acted-upon"
